Player,Team,Pos,TRB
Caleb Martin,PHI,SF,5.2
Lindy Waters III,2TM,SG,5.2
KJ Martin,2TM,PF,5.2
Jamison Battle,TOR,SF,5.2
Jordan Miller,LAC,SF,5.2
Zach LaVine,CHI,SF,5.1
Luguentz Dort,OKC,SF,5.1
Taurean Prince,MIL,SF,5.1
Terry Rozier,MIA,PG,5.1
Derrick Jones Jr.,LAC,SF,5.1
Jrue Holiday,BOS,PG,5.1
De'Andre Hunter,2TM,SF,5.1
Donte DiVincenzo,MIN,SG,5.1
Peyton Watson,DEN,SF,5.1
Jalen Suggs,ORL,PG,5.1
Brice Sensabaugh,UTA,SF,5.1
Brandon Miller,CHO,SF,5.1
Ja'Kobe Walter,TOR,SG,5.1
KJ Simpson,CHO,PG,5.1
Terrence Shannon Jr.,MIN,SG,5.1
JT Thor,CLE,PF,5.1
PJ Dozier,MIN,SG,5.1
Jack McVeigh,HOU,PF,5.1
Malevy Leons,OKC,SF,5.1
Donovan Mitchell,CLE,SG,5
Stephen Curry,GSW,PG,5
Buddy Hield,GSW,SG,5
Caris LeVert,ATL,SG,5
Ja Morant,MEM,PG,5
Terance Mann,2TM,SG,5
Jaden Ivey,DET,SG,5
Elfrid Payton,2TM,PG,5
Damion Lee,PHO,SG,5
De'Aaron Fox,SAC,PG,4.9
Bub Carrington,WAS,PG,4.9
Payton Pritchard,BOS,PG,4.9
Andrew Wiggins,MIA,SF,4.9
Ochai Agbaji,TOR,SG,4.9
De'Andre Hunter,ATL,SF,4.9
Brandon Boston Jr.,NOP,SG,4.9
KJ Martin,UTA,SF,4.9
Enrique Freeman,IND,PF,4.9
De'Aaron Fox,2TM,PG,4.8
Zach LaVine,2TM,SF,4.8
Kyrie Irving,DAL,SG,4.8
Dorian Finney-Smith,LAL,PF,4.8
Ty Jerome,CLE,SG,4.8
Kevin Huerter,SAC,SG,4.8
T.J. McConnell,IND,PG,4.8
Ben Sheppard,IND,SG,4.8
Dru Smith,MIA,SG,4.8
Cam Spencer,MEM,SG,4.8
Jalen Green,HOU,SG,4.7
Chris Paul,SAS,PG,4.7
Shaedon Sharpe,POR,SG,4.7
Cameron Johnson,BRK,PF,4.7
Grayson Allen,PHO,SG,4.7
Vit Krejci,ATL,PG,4.7
Ryan Rollins,MIL,PG,4.7
Jared Butler,2TM,SG,4.7
Jeff Green,HOU,PF,4.7
OG Anunoby,NYK,PF,4.6
Damian Lillard,MIL,PG,4.6
Jalen Wilson,BRK,PF,4.6
Klay Thompson,DAL,SF,4.6
Cason Wallace,OKC,SG,4.6
Isaiah Collier,UTA,PG,4.6
Haywood Highsmith,MIA,SF,4.6
Kevin Huerter,2TM,SG,4.6
Luke Ken0rd,MEM,SG,4.6
Justin Edwards,PHI,SF,4.6
Tre Jones,2TM,PG,4.6
Tre Jones,SAS,PG,4.6
Tre Jones,CHI,PG,4.6
TyTy Washington Jr.,PHO,PG,4.6
Derrick White,BOS,SG,4.5
Austin Reaves,LAL,SG,4.5
Max Christie,DAL,SG,4.5
Caris LeVert,2TM,SG,4.5
Dalano Banton,POR,PG,4.5
Craig Porter Jr.,CLE,PG,4.5
Malaki Branham,SAS,SG,4.5
Jevon Carter,CHI,PG,4.5
Lonnie Walker IV,PHI,SG,4.5
De'Aaron Fox,SAS,PG,4.4
Dillon Brooks,HOU,SF,4.4
Nickeil Alexander-Walker,MIN,SG,4.4
Jaylen Wells,MEM,SG,4.4
Gradey Dick,TOR,SG,4.4
Stephon Castle,SAS,PG,4.4
Devin Vassell,SAS,SG,4.4
Isaiah Joe,OKC,SG,4.4
Terance Mann,ATL,SG,4.4
Jordan Clarkson,UTA,SG,4.4
Shake Milton,2TM,SG,4.4
Svi Mykhailiuk,UTA,SF,4.4
AJ Johnson,2TM,SG,4.4
D.J. Carton,TOR,SG,4.4
Keyonte George,UTA,PG,4.3
Caris LeVert,CLE,SF,4.3
Herbert Jones,NOP,SF,4.3
Ajay Mitchell,OKC,SG,4.3
Tre Mann,CHO,PG,4.3
Isaiah Wong,CHO,SG,4.3
Jaylen Nowell,NOP,SG,4.3
Jalen Bridges,PHO,SF,4.3
Malik Monk,SAC,SG,4.2
Ayo Dosunmu,CHI,SG,4.2
Moses Moody,GSW,SG,4.2
Jordan Hawkins,NOP,SG,4.2
Dalen Terry,CHI,SG,4.2
Isaac Okoro,CLE,SG,4.2
Reed Sheppard,HOU,PG,4.2
Marvin Bagley III,MEM,PF,4.2
Matt Ryan,NYK,SF,4.2
Corey Kispert,WAS,SF,4.1
Anthony Black,ORL,PG,4.1
Keon Ellis,SAC,SG,4.1
Vasilije Micić,2TM,PG,4.1
Vasilije Micić,CHO,PG,4.1
Seth Curry,CHO,SG,4.1
Immanuel Quickley,TOR,PG,4.1
Pelle Larsson,MIA,SG,4.1
Jared Butler,WAS,PG,4.1
Delon Wright,MIL,PG,4.1
Trevelin Queen,ORL,SG,4.1
Trey Alexander,DEN,SG,4.1
Fred VanVleet,HOU,PG,4
CJ McCollum,NOP,PG,4
Max Christie,2TM,SG,4
Scoot Henderson,POR,PG,4
Bradley Beal,PHO,SG,4
Andrew Nembhard,IND,SG,4
Bogdan Bogdanović,ATL,SG,4
Cam Reddish,LAL,SF,4
Delon Wright,2TM,PG,4
Jordan McLaughlin,SAC,PG,4
Damion Baugh,CHO,SG,4
Killian Hayes,BRK,PG,4
Yuki Kawamura,MEM,PG,4
DeMar DeRozan,SAC,SF,3.9
Zach LaVine,SAC,SG,3.9
D'Angelo Russell,BRK,PG,3.9
Kevin Huerter,CHI,SG,3.9
Cody Williams,UTA,SG,3.9
