Player,Team,Pos,PTS,TRB,AST
Brandon Williams,DAL,PG,15.6,3.7,5.4
Marcus Sasser,DET,PG,15.6,3,5.9
Brandon Clarke,MEM,PF,15.5,9.7,2
Amen Thompson,HOU,SF,15.5,9.2,3.9
Tobias Harris,DET,PF,15.5,6.7,2.5
Matas Buzelis,CHI,SF,15.5,6.7,1.7
Donte DiVincenzo,MIN,SG,15.5,5.1,5
Jaylen Wells,MEM,SG,15.5,4.4,2.3
Caris LeVert,CLE,SF,15.5,4.3,5.6
Garrison Mathews,ATL,SG,15.5,3.8,2.6
Kel'el Ware,MIA,C,15.4,11.4,1.6
Jaylen Martin,2TM,SF,15.4,10.3,0
Zach Collins,2TM,PF,15.4,9.5,4.1
Gary Payton II,GSW,SG,15.4,7.7,3.5
Alex Reese,PHI,PF,15.4,7.7,2.6
Josh Okogie,PHO,SG,15.4,7.4,1.4
Bruce Brown,TOR,PG,15.4,6.9,2.9
Kobe Bufkin,ATL,SG,15.4,6.1,4.9
Isaac Jones,SAC,PF,15.4,6,1.3
Nikola Jović,MIA,PF,15.4,5.6,4.1
Ricky Council IV,PHI,SF,15.4,5.5,3
Grayson Allen,PHO,SG,15.4,4.7,3.1
Nick Richards,CHO,C,15.3,12.9,2.3
MarJon Beauchamp,MIL,SF,15.3,9.4,2.4
Keon Johnson,BRK,SG,15.3,5.5,3
Terry Rozier,MIA,PG,15.3,5.1,3.7
Seth Curry,CHO,SG,15.3,4.1,1.6
Vince Williams Jr.,MEM,SG,15.2,7.4,4.2
Georges Niang,CLE,PF,15.2,6.5,2.3
Luke Ken0rd,MEM,SG,15.2,4.6,5.6
A.J. Lawson,TOR,SG,15.2,3.8,0.6
Julian Strawther,DEN,SG,15.2,3.5,2.2
Gary Trent Jr.,MIL,SG,15.2,3.4,1.7
Jazian Gortman,DAL,PG,15.2,3.2,3.8
Dillon Brooks,HOU,SF,15.1,4.4,1.8
Clint Capela,ATL,C,15,14.2,1.9
Isaiah Jackson,IND,C,15,12,2.1
Richaun Holmes,WAS,PF,15,11.2,2.8
Justin Champagnie,WAS,SF,15,9,1.8
Julian Champagnie,SAS,SF,15,5.8,2
Harrison Barnes,SAS,PF,15,5.2,2.3
Derrick Jones Jr.,LAC,SF,15,5.1,1.2
Nick Richards,2TM,C,14.9,14,1.6
Rui Hachimura,LAL,PF,14.9,5.9,1.7
Marcus Smart,MEM,PG,14.9,3.9,6.4
Bogdan Bogdanović,2TM,SG,14.9,3.6,3.3
Trayce Jackson-Davis,GSW,C,14.8,11.4,3.8
Kyle Filipowski,UTA,C,14.8,10,3.6
